,Unnamed: 0,spec,concept,syn_concept,def_concept,chosen_concept,syn_chosen_concept
41,41,car,washing,"['wash.n.02', 'laundry.n.01']","['the work of cleansing (usually with soap and water)', 'garments or white goods that can be cleaned by laundering']",0.0,wash.n.02
42,42,dry,cleaners,"['cleaners.n.01', 'cleansing_agent.n.01', 'cleaner.n.02', 'cleaner.n.03']","['shop where dry cleaning is done', 'a preparation used in cleaning something', 'the operator of dry-cleaning establishment', 'someone whose occupation is cleaning']",0.0,cleaners.n.01
43,43,,rv,['recreational_vehicle.n.01'],['a motorized wheeled vehicle used for camping or other recreational activities'],0.0,recreational_vehicle.n.01
44,44,lamp,store,"['shop.n.01', 'store.n.02', 'memory.n.04', 'storehouse.n.01']","['a mercantile establishment for the retail sale of goods or services', 'a supply of something available for future use', 'an electronic memory device', 'a depository for goods']",0.0,shop.n.01
45,45,forest,path,"['way.n.05', 'path.n.02', 'path.n.03', 'path.n.04']","['a course of conduct', 'a way especially designed for a particular use', 'an established line of travel or access', 'a line or route along which something travels or moves']",3.0,path.n.04
46,46,eyeglass,store,"['shop.n.01', 'store.n.02', 'memory.n.04', 'storehouse.n.01']","['a mercantile establishment for the retail sale of goods or services', 'a supply of something available for future use', 'an electronic memory device', 'a depository for goods']",0.0,shop.n.01
47,47,bakery,kitchen,['kitchen.n.01'],['a room equipped for preparing meals'],0.0,kitchen.n.01
48,48,olympic,swimming_pool,['swimming_pool.n.01'],['pool that provides a facility for swimming'],0.0,swimming_pool.n.01
49,49,farmer,mart,['marketplace.n.02'],['an area in a town where a public mercantile establishment is set up'],0.0,marketplace.n.02
50,50,music,store,"['shop.n.01', 'store.n.02', 'memory.n.04', 'storehouse.n.01']","['a mercantile establishment for the retail sale of goods or services', 'a supply of something available for future use', 'an electronic memory device', 'a depository for goods']",0.0,shop.n.01
51,51,banquet,hall,"['hallway.n.01', 'anteroom.n.01', 'hall.n.03', 'dormitory.n.01', 'manor_hall.n.01', 'hall.n.06', 'hall.n.07', 'hall.n.08', 'hall.n.09', 'hall.n.10', 'mansion.n.02', 'hall.n.12', 'hall.n.13']","['an interior passage or corridor onto which rooms open', 'a large entrance or reception room or area', 'a large room for gatherings or entertainment', 'a college or university building containing living quarters for students', 'the large room of a manor or castle', 'English writer whose novel about a lesbian relationship was banned in Britain for many years (1883-1943)', 'United States child psychologist whose theories of child psychology strongly influenced educational psychology (1844-1924)', 'United States chemist who developed an economical method of producing aluminum from bauxite (1863-1914)', 'United States explorer who led three expeditions to the Arctic (1821-1871)', 'United States astronomer who discovered Phobos and Deimos (the two satellites of Mars) (1829-1907)', 'a large and imposing house', 'a large building used by a college or university for teaching or research', 'a large building for meetings or entertainment']",2.0,hall.n.03
52,52,construction,site,"['site.n.01', 'site.n.02', 'web_site.n.01']","['the piece of land on which something is located (or is to be located)', 'physical position in relation to the surroundings', 'a computer connected to the internet that maintains a series of web pages on the World Wide Web']",0.0,site.n.01
53,53,snow,mountain,"['mountain.n.01', 'batch.n.02']","['a land mass that projects well above its surroundings; higher than a hill', ""(often followed by `of') a large number or amount or extent""]",0.0,mountain.n.01
54,54,pool,hall,"['hallway.n.01', 'anteroom.n.01', 'hall.n.03', 'dormitory.n.01', 'manor_hall.n.01', 'hall.n.06', 'hall.n.07', 'hall.n.08', 'hall.n.09', 'hall.n.10', 'mansion.n.02', 'hall.n.12', 'hall.n.13']","['an interior passage or corridor onto which rooms open', 'a large entrance or reception room or area', 'a large room for gatherings or entertainment', 'a college or university building containing living quarters for students', 'the large room of a manor or castle', 'English writer whose novel about a lesbian relationship was banned in Britain for many years (1883-1943)', 'United States child psychologist whose theories of child psychology strongly influenced educational psychology (1844-1924)', 'United States chemist who developed an economical method of producing aluminum from bauxite (1863-1914)', 'United States explorer who led three expeditions to the Arctic (1821-1871)', 'United States astronomer who discovered Phobos and Deimos (the two satellites of Mars) (1829-1907)', 'a large and imposing house', 'a large building used by a college or university for teaching or research', 'a large building for meetings or entertainment']",2.0,hall.n.03
55,55,tv,studio,"['studio.n.01', 'studio_apartment.n.01', 'studio.n.03']","['workplace for the teaching or practice of an art', 'an apartment with a living space and a bathroom and a small kitchen', 'workplace consisting of a room or building where movies or television shows or radio programs are produced and recorded']",0.0,studio.n.01
56,56,,balcony,"['balcony.n.01', 'balcony.n.02']","['an upper floor projecting from the rear over the main floor in an auditorium', 'a platform projecting from the wall of a building and surrounded by a balustrade or railing or parapet']",1.0,balcony.n.02
57,57,kindergarten,classroom,['classroom.n.01'],['a room in a school where lessons take place'],0.0,classroom.n.01
58,58,rural,road,"['road.n.01', 'road.n.02']","['an open way (generally public) for travel or transportation', 'a way or means to achieve something']",0.0,road.n.01
59,59,desert,vegetation,"['vegetation.n.01', 'vegetation.n.02', 'vegetation.n.03', 'vegetation.n.04']","['all the plant life in a particular region or period', 'the process of growth in plants', 'an abnormal growth or excrescence (especially a warty excrescence on the valves of the heart)', 'inactivity that is passive and monotonous, comparable to the inactivity of plant life']",0.0,vegetation.n.01
60,60,break,room,"['room.n.01', 'room.n.02', 'room.n.03', 'room.n.04']","['an area within a building enclosed by walls and floor and ceiling', 'space for movement', 'opportunity for', 'the people who are present in a room']",0.0,room.n.01
61,61,weight,room,"['room.n.01', 'room.n.02', 'room.n.03', 'room.n.04']","['an area within a building enclosed by walls and floor and ceiling', 'space for movement', 'opportunity for', 'the people who are present in a room']",0.0,room.n.01
62,62,,balcony,"['balcony.n.01', 'balcony.n.02']","['an upper floor projecting from the rear over the main floor in an auditorium', 'a platform projecting from the wall of a building and surrounded by a balustrade or railing or parapet']",1.0,balcony.n.02
63,63,,rapids,['rapid.n.01'],['a part of a river where the current is very fast'],0.0,rapid.n.01
64,64,mini,golf,['golf.n.01'],['a game played on a large open course with 9 or 18 holes; the object is use as few strokes as possible in playing all the holes'],0.0,golf.n.01
65,65,,maze,"['maze.n.01', 'tangle.n.02']","['complex system of paths or tunnels in which it is easy to get lost', 'something jumbled or confused']",0.0,maze.n.01
66,66,restaurant,kitchen,['kitchen.n.01'],['a room equipped for preparing meals'],0.0,kitchen.n.01
67,67,,stream,"['stream.n.01', 'stream.n.02', 'flow.n.03', 'stream.n.04', 'current.n.02']","['a natural body of running water flowing on or under the earth', 'dominant course (suggestive of running water) of successive events or ideas', 'the act of flowing or streaming; continuous progression', 'something that resembles a flowing stream in moving continuously', 'a steady flow of a fluid (usually from natural causes)']",0.0,stream.n.01
68,68,,bistro,['bistro.n.01'],['a small informal restaurant; serves wine'],0.0,bistro.n.01
69,69,APPLE,store,"['shop.n.01', 'store.n.02', 'memory.n.04', 'storehouse.n.01']","['a mercantile establishment for the retail sale of goods or services', 'a supply of something available for future use', 'an electronic memory device', 'a depository for goods']",0.0,shop.n.01
70,70,bamboo,forest,"['forest.n.01', 'forest.n.02']","['the trees and other plants in a large densely wooded area', 'land that is covered with trees and shrubs']",0.0,forest.n.01
71,71,bus,shelter,"['shelter.n.01', 'shelter.n.02', 'protection.n.04', 'tax_shelter.n.01', 'shelter.n.05']","['a structure that provides privacy and protection from danger', 'protective covering that provides protection from the weather', 'the condition of being protected', 'a way of organizing business to reduce the taxes it must pay on current earnings', 'temporary housing for homeless or displaced persons']",1.0,shelter.n.02
72,72,library,aisle,"['aisle.n.01', 'aisle.n.02', 'aisle.n.03']","['a long narrow passage (as in a cave or woods)', 'passageway between seating areas as in an auditorium or passenger vehicle or between areas of shelves of goods as in stores', 'part of a church divided laterally from the nave proper by rows of pillars or columns']",1.0,aisle.n.02
73,73,,waterfall,['waterfall.n.01'],['a steep descent of the water of a river'],0.0,waterfall.n.01
74,74,,elevator,"['elevator.n.01', 'elevator.n.02']","['lifting device consisting of a platform or cage that is raised and lowered mechanically in a vertical shaft in order to move people from one floor to another in a building', 'the airfoil on the tailplane of an aircraft that makes it ascend or descend']",0.0,elevator.n.01
75,75,home,garage,"['garage.n.01', 'garage.n.02']","['an outbuilding (or part of a building) for housing automobiles', 'a repair shop where cars and trucks are serviced and repaired']",0.0,garage.n.01
76,76,yoga,studio,"['studio.n.01', 'studio_apartment.n.01', 'studio.n.03']","['workplace for the teaching or practice of an art', 'an apartment with a living space and a bathroom and a small kitchen', 'workplace consisting of a room or building where movies or television shows or radio programs are produced and recorded']",0.0,studio.n.01
77,77,,boat,"['boat.n.01', 'gravy_boat.n.01']","['a small vessel for travel on water', 'a dish (often boat-shaped) for serving gravy or sauce']",0.0,boat.n.01
78,78,spa,room,"['room.n.01', 'room.n.02', 'room.n.03', 'room.n.04']","['an area within a building enclosed by walls and floor and ceiling', 'space for movement', 'opportunity for', 'the people who are present in a room']",0.0,room.n.01
79,79,fitting,room,"['room.n.01', 'room.n.02', 'room.n.03', 'room.n.04']","['an area within a building enclosed by walls and floor and ceiling', 'space for movement', 'opportunity for', 'the people who are present in a room']",0.0,room.n.01
80,80,car,showroom,['showroom.n.01'],['an area where merchandise (such as cars) can be displayed'],0.0,showroom.n.01
81,81,car,racetrack,['racetrack.n.01'],['a course over which races are run'],0.0,racetrack.n.01
